PKS 1934-638,radec bpcal  ,19:39:25.03,-63:42:45.63
PKSJ2206-1835,radec gaincal,22:06:10.42,-18:35:38.7
PKSJ2129-1821,radec gaincal,21:29:21.42,-18:21:22.9
PKSJ2131-2036,radec gaincal,21:31:01.52,-20:36:56.1
PKSJ2151-3027,radec gaincal,21:51:55.52,-30:27:53.6
PKSJ2152-2828,radec gaincal,21:52:03.83,-28:28:29.6
PKSJ2219-2756,radec gaincal,22:19:42.40,-27:56:20.0
PKSJ2258-2758,radec gaincal,22:58:05.95,-27:58:19.4
PKSJ2237-1145,radec gaincal,22:37:46.68,-11:45:43.7
PKSJ2211-1328,radec gaincal,22:11:24.18,-13:28:10.1
PKSJ2158-1501,radec gaincal,21:58:06.30,-15:01:09.1
