0023-263,radec gaincal,00:25:49.15625,-26:02:12.6168
0106+013,radec gaincal,01:08:38.771,01:35:00.317
3C48,radec gaincal,01:37:41.299431,33:09:35.132990
0237-233,radec gaincal,02:40:08.174510,-23:09:15.730850
0252-712,radec gaincal,02:52:46.157,-71:04:35.28
CTA21,radec gaincal,03:18:57.802658,16:28:32.698500
0408-658,radec bpcal,04:08:20.380,-65:45:09.08
3C138,radec gaincal,05:21:09.886021,16:38:22.051220
0531+194,radec gaincal,05:34:44.5183,19:27:21.378
0741-063,radec gaincal,07:44:21.6605,-06:29:35.888
0823-500,radec gaincal,08:25:26.869,-50:10:38.49
3C237,radec gaincal,10:08:00.0160,07:30:16.552	
1127-145,radec gaincal,11:30:07.0525,-14:49:27.388
1148-001,radec gaincal,11:50:43.870761,-00:23:54.204900
3C279,radec gaincal,12:56:11.166560,-05:47:21.524580
3C287,radec gaincal,13:30:37.6892,25:09:10.978
3C286,radec gaincal,13:31:08.287984,30:30:32.958850
1345+125,radec gaincal,13:47:33.361645,12:17:24.238900
1421-490,radec gaincal,14:24:32.28,-49:13:49.30
CTD93,radec gaincal,16:09:13.320853, 26:41:29.0378000
1740-517,radec gaincal,17:44:25.450619,-51:44:43.79199
1827-360,radec gaincal,18:30:58.8829,-36:02:30.132
1830-210,radec gaincal,18:33:39.9150,-21:03:40.050
OV-236,radec gaincal,19:24:51.055957,-29:14:30.121150
1934-638,radec bpcal,19:39:25.026,-63:42:45.63
1938-155,radec gaincal,19:41:15.0289,-15:24:31.309
2203-188,radec gaincal,22:06:10.417082,-18:35:38.746520
3C446,radec gaincal,22:25:47.259291,-04:57:01.390730
CTA102,radec target,22:32:36.408914,11:43:50.904100
3C454.3,radec gaincal,22:53:57.747932,16:08:53.560890
