#Antenna,Polorisation ,Goal
m000,h,3
m000,v,3
m001,h,6
m001,v,3
m002,h,2
m002,v,3
m003,h,2
m003,v,4
m004,h,2
m004,v,2
m005,h,3
m005,v,2
m006,h,3
m006,v,4
m007,h,2
m007,v,3
m008,h,2
m008,v,2
m009,h,2
m009,v,2
m010,h,3
m010,v,2
m011,h,1
m011,v,3
m012,h,4
m012,v,4
m013,h,4
m013,v,4
m014,h,2
m014,v,1
m015,h,5
m015,v,3
m016,h,1
m016,v,4
m017,h,0
m017,v,0
m018,h,3
m018,v,1
m019,h,3
m019,v,3
M020,h,3
M020,v,3
m021,h,3
m021,v,3
m022,h,4
m022,v,4
m023,h,4
m023,v,3
M024,h,6
M024,v,5
m025,h,4
m025,v,2
m026,h,5
m026,v,5
m027,h,2
m027,v,2
M028,h,6
M028,v,6
m029,h,4
m029,v,5
m030,h,2
m030,v,2
m031,h,2
m031,v,4
m032,h,4
m032,v,2
m033,h,3
m033,v,4
m034,h,4
m034,v,3
m035,h,5
m035,v,4
m036,h,1
m036,v,2
m037,h,2
m037,v,1
m038,h,4
m038,v,4
m039,h,4
m039,v,4
m040,h,3
m040,v,5
m041,h,1
m041,v,0
M042,h,2
M042,v,2
m043,h,3
m043,v,3
m044,h,3
m044,v,3
m045,h,1
m045,v,3
m046,h,4
m046,v,3
m047,h,3
m047,v,1
M048,h,1
M048,v,3
m049,h,2
m049,v,3
m050,h,2
m050,v,3
m051,h,3
m051,v,4
m052,h,4
m052,v,3
m053,h,3
m053,v,1
M054,h,2
M054,v,4
m055,h,2
m055,v,3
m056,h,3
m056,v,2
m057,h,2
m057,v,5
m058,h,2
m058,v,3
m059,h,4
m059,v,3
m060,h,6
m060,v,2
M061,h,4
M061,v,4
m062,h,3
m062,v,2
m063,h,6
m063,v,4
